,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,labs
ERR1135418,166.75648,168.77484,163.49481,163.31995,164.78784,163.41069,162.71776,163.65181,163.66364,164.37776,164.27184,163.62651,163.92978,163.2618,164.44676,Sus_scrofa
ERR1135257,187.3941,189.014,184.8105,184.35535,185.0066,184.58232,184.17534,184.76347,184.37427,185.03867,184.86137,184.4761,184.64247,185.23941,185.1714,Sus_scrofa
ERR1135224,122.935875,124.49918,118.19387,119.25113,121.05404,120.29061,119.445145,120.62427,119.3398,120.38534,119.6649,119.24192,120.223915,119.37817,119.79322,Sus_scrofa
ERR1135274,155.77536,157.13287,153.89792,153.2864,154.09943,153.6292,153.00302,153.84122,153.70729,154.05678,153.83607,153.63005,153.67177,153.67268,154.01776,Sus_scrofa
ERR1135190,166.3191,167.01613,163.07414,163.17241,163.90118,163.4011,162.92212,163.57391,163.3076,163.8124,163.70796,163.12262,163.41704,163.24765,163.73012,Sus_scrofa
ERR1135335,180.06418,180.64029,176.54315,176.90594,177.57959,177.05426,176.74275,177.1977,177.04382,177.45605,177.40338,176.75616,177.04831,176.81995,177.34149,Sus_scrofa
ERR1135330,187.33418,189.11482,184.74753,184.29642,184.97653,184.55974,184.15015,184.74075,184.4841,185.16455,184.83038,184.41216,184.6092,185.36736,185.18439,Sus_scrofa
ERR1135292,149.60667,150.1615,145.93436,146.1551,147.26071,146.7949,145.96896,147.02707,146.37077,146.9456,146.6409,146.36519,146.72281,146.84616,146.72528,Sus_scrofa
ERR1135192,174.41113,174.70851,170.89107,171.26958,171.93044,171.48097,171.11801,171.61575,171.3463,171.81909,171.75047,171.1448,171.48782,171.18854,171.71559,Sus_scrofa
SRR1175007,160.4431,163.44366,163.84984,163.48264,162.8007,166.00467,164.74063,165.71051,166.17076,165.41774,165.57504,164.71617,166.24352,165.96024,164.07764,Homo_sapiens
SRR042182,200.44229,203.9297,204.2595,204.3976,204.11412,205.09055,204.63486,204.76193,204.613,204.70895,205.44946,204.80675,204.62985,204.7128,204.68279,Homo_sapiens
SRR061154,136.74678,139.8619,139.26962,140.38548,139.96089,140.69345,140.95264,141.18779,140.8986,140.81683,141.20685,140.96921,141.26535,140.8761,140.77669,Homo_sapiens
